,year,geometry,class,tree_type,essence,dataset,start_date,end_date,cause,notes
2425245,2010.0,"POLYGON ((233171.0207537943 6791507.984591219, 233111.19756945135 6791501.973674485, 233105.4508240894 6791561.50297902, 233135.36242799135 6791564.508455409, 233132.48903463956 6791594.2731147725, 233162.40063960286 6791597.27858819, 233171.0207537943 6791507.984591219))",Other,Broadleaf,broadleaf,senfseidl,,,,
40649,,"POLYGON ((238166.83658772387 6786460.301873066, 238133.12967442925 6785774.18189076, 238032.3335505465 6785094.669618954, 237865.41893784932 6784428.309132285, 237633.99331530288 6783781.517846511, 237340.28543816236 6783160.524715285, 236987.1238738417 6782571.310241929, 236577.90976126303 6782019.548883921, 236116.5840560297 6781510.554404761, 235607.5895768694 6781049.228699528, 235055.82821886108 6780640.014586949, 234466.61374550586 6780286.8530226275, 233845.6206142795 6779993.145145487, 233198.82932850512 6779761.719522941, 232532.46884183676 6779594.8049102435, 231852.9565700308 6779494.008786361, 231166.83658772387 6779460.301873066, 230480.71660541694 6779494.008786361, 229801.20433361098 6779594.8049102435, 229134.84384694265 6779761.719522941, 228488.05256116824 6779993.145145487, 227867.05942994187 6780286.8530226275, 227277.84495658666 6780640.014586949, 226726.08359857835 6781049.228699528, 226217.08911941803 6781510.554404761, 225755.7634141847 6782019.548883921, 225346.54930160605 6782571.310241929, 224993.38773728537 6783160.524715285, 224699.67986014485 6783781.517846511, 224468.25423759842 6784428.309132285, 224301.33962490124 6785094.669618954, 224200.5435010185 6785774.18189076, 224166.83658772387 6786460.301873066, 224200.5435010185 6787146.421855373, 224301.33962490124 6787825.934127179, 224468.25423759842 6788492.2946138475, 224699.67986014485 6789139.085899622, 224993.38773728537 6789760.079030848, 225346.54930160605 6790349.293504204, 225755.7634141847 6790901.054862212, 226217.08911941803 6791410.049341372, 226726.08359857835 6791871.375046605, 227277.84495658666 6792280.589159184, 227867.05942994187 6792633.750723505, 228488.05256116824 6792927.458600646, 229134.84384694262 6793158.884223192, 229801.20433361098 6793325.798835889, 230480.71660541694 6793426.594959772, 231166.83658772387 6793460.301873066, 231852.9565700308 6793426.594959772, 232532.46884183676 6793325.798835889, 233198.8293285051 6793158.884223192, 233845.6206142795 6792927.458600646, 234466.61374550586 6792633.750723505, 235055.82821886108 6792280.589159184, 235607.5895768694 6791871.375046605, 236116.5840560297 6791410.049341372, 236577.90976126303 6790901.054862212, 236987.1238738417 6790349.293504204, 237340.28543816236 6789760.079030848, 237633.99331530288 6789139.085899622, 237865.41893784932 6788492.2946138475, 238032.3335505465 6787825.934127179, 238133.12967442925 6787146.421855373, 238166.83658772387 6786460.301873066))",Storm,Broadleaf,Pedunculate Oak,nfi,2007-12-28 18:00:00,2012-12-28,,
43766,,"POLYGON ((244226.90647766634 6794405.8513555955, 244193.19956437172 6793719.731373289, 244092.40344048897 6793040.219101483, 243925.4888277918 6792373.8586148145, 243694.06320524536 6791727.06732904, 243400.35532810484 6791106.074197814, 243047.19376378416 6790516.859724458, 242637.9796512055 6789965.09836645, 242176.65394597218 6789456.10388729, 241667.65946681186 6788994.778182057, 241115.89810880355 6788585.564069478, 240526.68363544834 6788232.402505157, 239905.69050422197 6787938.694628016, 239258.8992184476 6787707.26900547, 238592.53873177923 6787540.354392773, 237913.02645997328 6787439.55826889, 237226.90647766634 6787405.8513555955, 236540.7864953594 6787439.55826889, 235861.27422355345 6787540.354392773, 235194.91373688512 6787707.26900547, 234548.1224511107 6787938.694628016, 233927.12931988435 6788232.402505157, 233337.91484652914 6788585.564069478, 232786.15348852082 6788994.778182057, 232277.1590093605 6789456.10388729, 231815.83330412718 6789965.09836645, 231406.61919154853 6790516.859724458, 231053.45762722785 6791106.074197814, 230759.74975008733 6791727.06732904, 230528.3241275409 6792373.8586148145, 230361.40951484372 6793040.219101483, 230260.61339096096 6793719.731373289, 230226.90647766634 6794405.8513555955, 230260.61339096096 6795091.971337902, 230361.40951484372 6795771.483609708, 230528.3241275409 6796437.844096377, 230759.74975008733 6797084.635382151, 231053.45762722785 6797705.628513377, 231406.61919154853 6798294.842986733, 231815.83330412718 6798846.604344741, 232277.1590093605 6799355.598823901, 232786.15348852082 6799816.924529134, 233337.91484652914 6800226.138641713, 233927.12931988435 6800579.300206034, 234548.1224511107 6800873.008083175, 235194.9137368851 6801104.433705721, 235861.27422355345 6801271.3483184185, 236540.7864953594 6801372.144442301, 237226.90647766634 6801405.8513555955, 237913.02645997328 6801372.144442301, 238592.53873177923 6801271.3483184185, 239258.89921844756 6801104.433705721, 239905.69050422197 6800873.008083175, 240526.68363544834 6800579.300206034, 241115.89810880355 6800226.138641713, 241667.65946681186 6799816.924529134, 242176.65394597218 6799355.598823901, 242637.9796512055 6798846.604344741, 243047.19376378416 6798294.842986733, 243400.35532810484 6797705.628513377, 243694.06320524536 6797084.635382151, 243925.4888277918 6796437.844096377, 244092.40344048897 6795771.483609708, 244193.19956437172 6795091.971337902, 244226.90647766634 6794405.8513555955))",Tree-logging,Broadleaf,Pedunculate Oak,nfi,2007-12-28 18:00:00,2012-12-28,,
69546,,"POLYGON ((244202.67747157253 6791408.11093364, 244168.9705582779 6790721.990951333, 244068.17443439516 6790042.4786795275, 243901.25982169798 6789376.118192859, 243669.83419915155 6788729.326907084, 243376.12632201103 6788108.333775858, 243022.96475769035 6787519.119302503, 242613.7506451117 6786967.357944494, 242152.42493987837 6786458.363465334, 241643.43046071805 6785997.037760101, 241091.66910270974 6785587.823647522, 240502.45462935453 6785234.662083201, 239881.46149812816 6784940.954206061, 239234.67021235378 6784709.5285835145, 238568.30972568542 6784542.613970817, 237888.79745387947 6784441.817846934, 237202.67747157253 6784408.11093364, 236516.5574892656 6784441.817846934, 235837.04521745964 6784542.613970817, 235170.6847307913 6784709.5285835145, 234523.8934450169 6784940.954206061, 233902.90031379054 6785234.662083201, 233313.68584043533 6785587.823647522, 232761.924482427 6785997.037760101, 232252.9300032667 6786458.363465334, 231791.60429803337 6786967.357944494, 231382.39018545471 6787519.119302503, 231029.22862113404 6788108.333775858, 230735.52074399352 6788729.326907084, 230504.09512144708 6789376.118192859, 230337.1805087499 6790042.4786795275, 230236.38438486715 6790721.990951333, 230202.67747157253 6791408.11093364, 230236.38438486715 6792094.230915947, 230337.1805087499 6792773.743187753, 230504.09512144708 6793440.103674421, 230735.52074399352 6794086.894960196, 231029.22862113404 6794707.888091422, 231382.39018545471 6795297.102564777, 231791.60429803337 6795848.863922786, 232252.9300032667 6796357.858401946, 232761.924482427 6796819.184107179, 233313.68584043533 6797228.398219758, 233902.90031379054 6797581.559784079, 234523.8934450169 6797875.267661219, 235170.68473079128 6798106.693283766, 235837.04521745964 6798273.607896463, 236516.5574892656 6798374.404020346, 237202.67747157253 6798408.11093364, 237888.79745387947 6798374.404020346, 238568.30972568542 6798273.607896463, 239234.67021235375 6798106.693283766, 239881.46149812816 6797875.267661219, 240502.45462935453 6797581.559784079, 241091.66910270974 6797228.398219758, 241643.43046071805 6796819.184107179, 242152.42493987837 6796357.858401946, 242613.7506451117 6795848.863922786, 243022.96475769035 6795297.102564777, 243376.12632201103 6794707.888091422, 243669.83419915155 6794086.894960196, 243901.25982169798 6793440.103674421, 244068.17443439516 6792773.743187753, 244168.9705582779 6792094.230915947, 244202.67747157253 6791408.11093364))",Storm,Broadleaf,Pedunculate Oak,nfi,2011-12-28 18:00:00,2016-12-28,,
10,2007.0,"POLYGON ((240924.714343074 6796466.646150233, 240891.0074297794 6795780.526167926, 240790.21130589664 6795101.013896121, 240623.29669319946 6794434.653409452, 240391.87107065303 6793787.8621236775, 240098.1631935125 6793166.868992452, 239745.00162919183 6792577.654519096, 239335.78751661317 6792025.893161087, 238874.46181137985 6791516.8986819275, 238365.46733221953 6791055.572976694, 237813.70597421122 6790646.358864116, 237224.491500856 6790293.197299794, 236603.49836962964 6789999.489422654, 235956.70708385526 6789768.063800108, 235290.3465971869 6789601.14918741, 234610.83432538094 6789500.3530635275, 233924.714343074 6789466.646150233, 233238.59436076708 6789500.3530635275, 232559.08208896112 6789601.14918741, 231892.7216022928 6789768.063800108, 231245.93031651838 6789999.489422654, 230624.93718529202 6790293.197299794, 230035.7227119368 6790646.358864116, 229483.9613539285 6791055.572976694, 228974.96687476817 6791516.8986819275, 228513.64116953485 6792025.893161087, 228104.4270569562 6792577.654519096, 227751.26549263552 6793166.868992452, 227457.557615495 6793787.8621236775, 227226.13199294856 6794434.653409452, 227059.2173802514 6795101.013896121, 226958.42125636863 6795780.526167926, 226924.714343074 6796466.646150233, 226958.42125636863 6797152.76613254, 227059.2173802514 6797832.278404346, 227226.13199294856 6798498.638891014, 227457.557615495 6799145.430176789, 227751.26549263552 6799766.423308015, 228104.4270569562 6800355.63778137, 228513.64116953485 6800907.399139379, 228974.96687476817 6801416.393618539, 229483.9613539285 6801877.719323772, 230035.7227119368 6802286.933436351, 230624.93718529202 6802640.095000672, 231245.93031651838 6802933.802877813, 231892.72160229276 6803165.228500359, 232559.08208896112 6803332.143113056, 233238.59436076708 6803432.939236939, 233924.714343074 6803466.646150233, 234610.83432538094 6803432.939236939, 235290.3465971869 6803332.143113056, 235956.70708385523 6803165.228500359, 236603.49836962964 6802933.802877813, 237224.491500856 6802640.095000672, 237813.70597421122 6802286.933436351, 238365.46733221953 6801877.719323772, 238874.46181137985 6801416.393618539, 239335.78751661317 6800907.399139379, 239745.00162919183 6800355.63778137, 240098.1631935125 6799766.423308015, 240391.87107065303 6799145.430176789, 240623.29669319946 6798498.638891014, 240790.21130589664 6797832.278404346, 240891.0074297794 6797152.76613254, 240924.714343074 6796466.646150233))",Biotic,conifer,Spruces,hm,,,Puceron vert de l'épicéa,Attaque de pucerons sévère sur l'ensemble du secteur
3655,2008.0,"POLYGON ((243735.37327248516 6792631.960539159, 243701.66635919054 6791945.8405568525, 243600.87023530778 6791266.328285047, 243433.9556226106 6790599.967798378, 243202.53000006417 6789953.176512604, 242908.82212292365 6789332.183381378, 242555.66055860298 6788742.968908022, 242146.44644602432 6788191.207550013, 241685.120740791 6787682.213070854, 241176.12626163068 6787220.887365621, 240624.36490362237 6786811.673253042, 240035.15043026715 6786458.51168872, 239414.1572990408 6786164.80381158, 238767.3660132664 6785933.378189034, 238101.00552659805 6785766.463576336, 237421.4932547921 6785665.667452454, 236735.37327248516 6785631.960539159, 236049.25329017823 6785665.667452454, 235369.74101837227 6785766.463576336, 234703.38053170394 6785933.378189034, 234056.58924592953 6786164.80381158, 233435.59611470316 6786458.51168872, 232846.38164134795 6786811.673253042, 232294.62028333964 6787220.887365621, 231785.62580417932 6787682.213070854, 231324.300098946 6788191.207550013, 230915.08598636734 6788742.968908022, 230561.92442204666 6789332.183381378, 230268.21654490614 6789953.176512604, 230036.7909223597 6790599.967798378, 229869.87630966253 6791266.328285047, 229769.08018577978 6791945.8405568525, 229735.37327248516 6792631.960539159, 229769.08018577978 6793318.080521466, 229869.87630966253 6793997.592793272, 230036.7909223597 6794663.95327994, 230268.21654490614 6795310.744565715, 230561.92442204666 6795931.737696941, 230915.08598636734 6796520.952170297, 231324.300098946 6797072.713528305, 231785.62580417932 6797581.708007465, 232294.62028333964 6798043.033712698, 232846.38164134795 6798452.247825277, 233435.59611470316 6798805.409389598, 234056.58924592953 6799099.117266739, 234703.3805317039 6799330.542889285, 235369.74101837227 6799497.457501982, 236049.25329017823 6799598.253625865, 236735.37327248516 6799631.960539159, 237421.4932547921 6799598.253625865, 238101.00552659805 6799497.457501982, 238767.36601326638 6799330.542889285, 239414.1572990408 6799099.117266739, 240035.15043026715 6798805.409389598, 240624.36490362237 6798452.247825277, 241176.12626163068 6798043.033712698, 241685.120740791 6797581.708007465, 242146.44644602432 6797072.713528305, 242555.66055860298 6796520.952170297, 242908.82212292365 6795931.737696941, 243202.53000006417 6795310.744565715, 243433.9556226106 6794663.95327994, 243600.87023530778 6793997.592793272, 243701.66635919054 6793318.080521466, 243735.37327248516 6792631.960539159))",Biotic,conifer,Douglas,hm,,,Rhizosphaera kalkhoffii,"Les arbres sont jaunes voir complètement défeuillés, les bourgeons sont intacts et ont débourré, aspect général des douglas dans le 56"
32328,2016.0,"POLYGON ((241674.36793851113 6797443.823943915, 241640.6610252165 6796757.703961608, 241539.86490133376 6796078.191689802, 241372.95028863658 6795411.831203134, 241141.52466609015 6794765.039917359, 240847.81678894963 6794144.046786133, 240494.65522462895 6793554.832312778, 240085.4411120503 6793003.070954769, 239624.11540681697 6792494.076475609, 239115.12092765665 6792032.750770376, 238563.35956964834 6791623.536657797, 237974.14509629313 6791270.375093476, 237353.15196506676 6790976.667216335, 236706.36067929238 6790745.241593789, 236040.00019262402 6790578.326981092, 235360.48792081806 6790477.530857209, 234674.36793851113 6790443.823943915, 233988.2479562042 6790477.530857209, 233308.73568439824 6790578.326981092, 232642.3751977299 6790745.241593789, 231995.5839119555 6790976.667216335, 231374.59078072914 6791270.375093476, 230785.37630737392 6791623.536657797, 230233.6149493656 6792032.750770376, 229724.6204702053 6792494.076475609, 229263.29476497197 6793003.070954769, 228854.0806523933 6793554.832312778, 228500.91908807264 6794144.046786133, 228207.21121093212 6794765.039917359, 227975.78558838568 6795411.831203134, 227808.8709756885 6796078.191689802, 227708.07485180575 6796757.703961608, 227674.36793851113 6797443.823943915, 227708.07485180575 6798129.943926222, 227808.8709756885 6798809.456198027, 227975.78558838568 6799475.816684696, 228207.21121093212 6800122.607970471, 228500.91908807264 6800743.6011016965, 228854.0806523933 6801332.815575052, 229263.29476497197 6801884.576933061, 229724.6204702053 6802393.571412221, 230233.6149493656 6802854.897117454, 230785.37630737392 6803264.1112300325, 231374.59078072914 6803617.272794354, 231995.5839119555 6803910.980671494, 232642.37519772988 6804142.40629404, 233308.73568439824 6804309.320906738, 233988.2479562042 6804410.117030621, 234674.36793851113 6804443.823943915, 235360.48792081806 6804410.117030621, 236040.00019262402 6804309.320906738, 236706.36067929235 6804142.40629404, 237353.15196506676 6803910.980671494, 237974.14509629313 6803617.272794354, 238563.35956964834 6803264.1112300325, 239115.12092765665 6802854.897117454, 239624.11540681697 6802393.571412221, 240085.4411120503 6801884.576933061, 240494.65522462895 6801332.815575052, 240847.81678894963 6800743.6011016965, 241141.52466609015 6800122.607970471, 241372.95028863658 6799475.816684696, 241539.86490133376 6798809.456198027, 241640.6610252165 6798129.943926222, 241674.36793851113 6797443.823943915))",Biotic,conifer,Spruces,hm,,,Dendroctone,FORTE ATTAQUE DEPUIS 2014
33675,2016.0,"POLYGON ((240826.86742458126 6796719.688018891, 240793.16051128664 6796033.568036584, 240692.36438740388 6795354.0557647785, 240525.4497747067 6794687.69527811, 240294.02415216027 6794040.903992335, 240000.31627501975 6793419.910861109, 239647.15471069908 6792830.696387754, 239237.94059812042 6792278.935029745, 238776.6148928871 6791769.940550585, 238267.62041372678 6791308.614845352, 237715.85905571847 6790899.400732773, 237126.64458236325 6790546.239168452, 236505.6514511369 6790252.531291312, 235858.8601653625 6790021.1056687655, 235192.49967869415 6789854.191056068, 234512.9874068882 6789753.394932185, 233826.86742458126 6789719.688018891, 233140.74744227433 6789753.394932185, 232461.23517046837 6789854.191056068, 231794.87468380004 6790021.1056687655, 231148.08339802563 6790252.531291312, 230527.09026679926 6790546.239168452, 229937.87579344405 6790899.400732773, 229386.11443543574 6791308.614845352, 228877.11995627542 6791769.940550585, 228415.7942510421 6792278.935029745, 228006.58013846344 6792830.696387754, 227653.41857414276 6793419.910861109, 227359.71069700224 6794040.903992335, 227128.2850744558 6794687.69527811, 226961.37046175863 6795354.0557647785, 226860.57433787588 6796033.568036584, 226826.86742458126 6796719.688018891, 226860.57433787588 6797405.808001198, 226961.37046175863 6798085.320273004, 227128.2850744558 6798751.680759672, 227359.71069700224 6799398.472045447, 227653.41857414276 6800019.465176673, 228006.58013846344 6800608.679650028, 228415.7942510421 6801160.441008037, 228877.11995627542 6801669.435487197, 229386.11443543574 6802130.76119243, 229937.87579344405 6802539.975305009, 230527.09026679926 6802893.13686933, 231148.08339802563 6803186.84474647, 231794.8746838 6803418.270369017, 232461.23517046837 6803585.184981714, 233140.74744227433 6803685.981105597, 233826.86742458126 6803719.688018891, 234512.9874068882 6803685.981105597, 235192.49967869415 6803585.184981714, 235858.86016536248 6803418.270369017, 236505.6514511369 6803186.84474647, 237126.64458236325 6802893.13686933, 237715.85905571847 6802539.975305009, 238267.62041372678 6802130.76119243, 238776.6148928871 6801669.435487197, 239237.94059812042 6801160.441008037, 239647.15471069908 6800608.679650028, 240000.31627501975 6800019.465176673, 240294.02415216027 6799398.472045447, 240525.4497747067 6798751.680759672, 240692.36438740388 6798085.320273004, 240793.16051128664 6797405.808001198, 240826.86742458126 6796719.688018891))",Other,broadleaf,Chestnut,hm,,,Problème lié à la plantation,COLLETS ENTERRES  idem fiche plantation 181081
33698,2016.0,"POLYGON ((240826.86742458126 6796719.688018891, 240793.16051128664 6796033.568036584, 240692.36438740388 6795354.0557647785, 240525.4497747067 6794687.69527811, 240294.02415216027 6794040.903992335, 240000.31627501975 6793419.910861109, 239647.15471069908 6792830.696387754, 239237.94059812042 6792278.935029745, 238776.6148928871 6791769.940550585, 238267.62041372678 6791308.614845352, 237715.85905571847 6790899.400732773, 237126.64458236325 6790546.239168452, 236505.6514511369 6790252.531291312, 235858.8601653625 6790021.1056687655, 235192.49967869415 6789854.191056068, 234512.9874068882 6789753.394932185, 233826.86742458126 6789719.688018891, 233140.74744227433 6789753.394932185, 232461.23517046837 6789854.191056068, 231794.87468380004 6790021.1056687655, 231148.08339802563 6790252.531291312, 230527.09026679926 6790546.239168452, 229937.87579344405 6790899.400732773, 229386.11443543574 6791308.614845352, 228877.11995627542 6791769.940550585, 228415.7942510421 6792278.935029745, 228006.58013846344 6792830.696387754, 227653.41857414276 6793419.910861109, 227359.71069700224 6794040.903992335, 227128.2850744558 6794687.69527811, 226961.37046175863 6795354.0557647785, 226860.57433787588 6796033.568036584, 226826.86742458126 6796719.688018891, 226860.57433787588 6797405.808001198, 226961.37046175863 6798085.320273004, 227128.2850744558 6798751.680759672, 227359.71069700224 6799398.472045447, 227653.41857414276 6800019.465176673, 228006.58013846344 6800608.679650028, 228415.7942510421 6801160.441008037, 228877.11995627542 6801669.435487197, 229386.11443543574 6802130.76119243, 229937.87579344405 6802539.975305009, 230527.09026679926 6802893.13686933, 231148.08339802563 6803186.84474647, 231794.8746838 6803418.270369017, 232461.23517046837 6803585.184981714, 233140.74744227433 6803685.981105597, 233826.86742458126 6803719.688018891, 234512.9874068882 6803685.981105597, 235192.49967869415 6803585.184981714, 235858.86016536248 6803418.270369017, 236505.6514511369 6803186.84474647, 237126.64458236325 6802893.13686933, 237715.85905571847 6802539.975305009, 238267.62041372678 6802130.76119243, 238776.6148928871 6801669.435487197, 239237.94059812042 6801160.441008037, 239647.15471069908 6800608.679650028, 240000.31627501975 6800019.465176673, 240294.02415216027 6799398.472045447, 240525.4497747067 6798751.680759672, 240692.36438740388 6798085.320273004, 240793.16051128664 6797405.808001198, 240826.86742458126 6796719.688018891))",Biotic,broadleaf,Chestnut,hm,,,Phytophthora spp,test positif effectué le 21/09/2016 sur plant arraché.
