,sigma_noise_spatial,clustering_mode,davies-bouldin_median,davies-bouldin_std,AMI,ARI
10,0.0,equal,0.6794147793416668,0.482868009929175,1.0,1.0
12,0.0,PCA,0.9019818429272666,0.3902790744316525,1.0,1.0
13,0.0,ECO,0.6570120283122185,0.4795656537629787,1.0,1.0
14,66.66666666666667,equal,0.6959546733781881,0.4864805524612503,0.9233812726417313,0.7990044913983011
15,66.66666666666667,PCA,1.0241640983227174,0.3837013602195709,0.6515090863118428,0.5337551678051771
16,66.66666666666667,ECO,0.672003307414845,0.4844768417296047,0.9047362120874305,0.7690741441438399
17,133.33333333333334,equal,0.7048351001183162,0.49243230072421645,0.8669374318444681,0.6898063381250642
18,133.33333333333334,PCA,1.185891684072441,0.4020025904561675,0.3727268044687806,0.2915439234414468
19,133.33333333333334,ECO,0.6869591708711382,0.47528313672417744,0.8279768179518738,0.636260794957608
20,200.0,equal,0.6918764723791249,0.49622117646285147,0.7977787506561521,0.5888790273856355
21,200.0,PCA,1.2691178256773012,0.4002223368684826,0.19992686663831857,0.17356566545229546
22,200.0,ECO,0.6755927824806829,0.4682038212055497,0.7324373254679067,0.5199893295464367
23,266.6666666666667,equal,0.7101825861354453,0.49651309174955804,0.7653950519720564,0.536285947475429
24,266.6666666666667,PCA,1.3181409942105482,0.3865793859662098,0.1058763537743424,0.11525911152817615
25,266.6666666666667,ECO,0.695419450971277,0.46658314780832755,0.7227726679255243,0.4952710135201128
26,333.33333333333337,equal,0.7486730610020159,0.49873013526800236,0.7236679709796843,0.4900766739368743
27,333.33333333333337,PCA,1.3423893618533462,0.3573637898643933,0.05706855657485885,0.08203106811935604
28,333.33333333333337,ECO,0.7124485204140357,0.469620441315181,0.6872430223402435,0.4569116154516663
29,400.0,equal,0.7313916751757402,0.501289285217167,0.6910212283074103,0.44283545605058355
30,400.0,PCA,1.374241578074046,0.3367908836051869,0.027106202320355714,0.0575037012825175
31,400.0,ECO,0.7116626384447533,0.48215667693503517,0.6442307447522241,0.4060365758016287
32,466.6666666666667,equal,0.7522665704396888,0.4994011203489902,0.6410878705098306,0.3949569022362697
33,466.6666666666667,PCA,1.3751362100295637,0.3210584260169639,0.011877719566858848,0.04429544944210054
34,466.6666666666667,ECO,0.7269051786746241,0.4768673116190804,0.6213585293636862,0.38145383801032223
35,533.3333333333334,equal,0.7803612927025515,0.5118815541212407,0.6429536109436003,0.38637159670399607
36,533.3333333333334,PCA,1.379641307765254,0.3115161673849636,0.0030583610536549515,0.03544529055691217
37,533.3333333333334,ECO,0.7522179834285606,0.4868817344723176,0.6084507488942091,0.3638879968503873
38,600.0,equal,0.7969355655924432,0.5204184015359,0.6160665852123144,0.3608909840924312
39,600.0,PCA,1.3822450336024412,0.27085540748836034,-0.0007706564518288232,0.027448401284275482
40,600.0,ECO,0.7747594563660999,0.4976338498452578,0.6040757135950369,0.35412771762550543
